,DateTime,Open,High,Low,Close,Volume,Count
2023-04-27 21:40:00,2023-04-27 21:40:00,4153.5,4154.25,4151.75,4152.75,1337,449
2023-04-27 21:45:00,2023-04-27 21:45:00,4152.75,4154.0,4152.5,4152.75,693,239
2023-04-27 21:50:00,2023-04-27 21:50:00,4152.5,4153.0,4152.0,4152.75,512,161
2023-04-27 21:55:00,2023-04-27 21:55:00,4152.75,4152.75,4151.75,4152.0,384,145
2023-04-27 22:00:00,2023-04-27 22:00:00,4152.0,4152.0,4151.0,4151.5,566,210
2023-04-27 22:05:00,2023-04-27 22:05:00,4151.5,4152.0,4150.5,4151.0,531,146
2023-04-27 22:10:00,2023-04-27 22:10:00,4151.0,4151.75,4150.75,4151.75,381,135
2023-04-27 22:15:00,2023-04-27 22:15:00,4151.75,4151.75,4151.0,4151.5,319,117
2023-04-27 22:20:00,2023-04-27 22:20:00,4151.5,4152.5,4151.5,4152.5,415,140
2023-04-27 22:25:00,2023-04-27 22:25:00,4152.5,4153.5,4152.25,4153.25,606,163
2023-04-27 22:30:00,2023-04-27 22:30:00,4153.25,4153.5,4152.75,4153.5,433,138
2023-04-27 22:35:00,2023-04-27 22:35:00,4153.5,4154.0,4153.25,4153.75,428,122
2023-04-27 22:40:00,2023-04-27 22:40:00,4153.5,4154.0,4153.0,4153.0,304,80
2023-04-27 22:45:00,2023-04-27 22:45:00,4153.25,4153.75,4153.25,4153.5,290,74
2023-04-27 22:50:00,2023-04-27 22:50:00,4153.75,4153.75,4153.5,4153.75,77,42
2023-04-27 22:55:00,2023-04-27 22:55:00,4153.5,4153.5,4152.5,4152.5,277,90
2023-04-27 23:00:00,2023-04-27 23:00:00,4152.75,4153.0,4152.0,4152.0,395,109
2023-04-27 23:05:00,2023-04-27 23:05:00,4152.0,4152.25,4150.75,4150.75,370,138
2023-04-27 23:10:00,2023-04-27 23:10:00,4151.0,4151.75,4150.75,4151.25,280,109
2023-04-27 23:15:00,2023-04-27 23:15:00,4151.0,4151.5,4150.75,4151.25,325,85
2023-04-27 23:20:00,2023-04-27 23:20:00,4151.25,4151.5,4147.75,4148.0,958,337
2023-04-27 23:25:00,2023-04-27 23:25:00,4148.0,4149.75,4147.25,4149.0,1107,310
2023-04-27 23:30:00,2023-04-27 23:30:00,4149.0,4149.0,4148.0,4148.75,360,148
2023-04-27 23:35:00,2023-04-27 23:35:00,4149.0,4149.0,4148.0,4148.25,271,87
2023-04-27 23:40:00,2023-04-27 23:40:00,4148.25,4148.75,4147.75,4148.25,447,162
2023-04-27 23:45:00,2023-04-27 23:45:00,4148.0,4149.25,4147.75,4148.25,414,161
2023-04-27 23:50:00,2023-04-27 23:50:00,4148.25,4149.0,4148.0,4148.5,326,116
2023-04-27 23:55:00,2023-04-27 23:55:00,4148.5,4148.75,4148.0,4148.25,247,110
2023-04-28 00:00:00,2023-04-28 00:00:00,4148.25,4151.25,4147.75,4149.5,1873,621
2023-04-28 00:05:00,2023-04-28 00:05:00,4149.5,4150.0,4148.25,4149.75,871,343
2023-04-28 00:10:00,2023-04-28 00:10:00,4149.75,4150.5,4149.5,4150.5,660,223
2023-04-28 00:15:00,2023-04-28 00:15:00,4150.5,4151.5,4150.5,4151.25,771,262
2023-04-28 00:20:00,2023-04-28 00:20:00,4151.0,4151.0,4150.5,4150.75,310,121
2023-04-28 00:25:00,2023-04-28 00:25:00,4150.75,4150.75,4149.75,4150.25,551,122
2023-04-28 00:30:00,2023-04-28 00:30:00,4150.0,4150.75,4149.75,4149.75,289,84
2023-04-28 00:35:00,2023-04-28 00:35:00,4149.75,4149.75,4148.5,4149.25,586,181
2023-04-28 00:40:00,2023-04-28 00:40:00,4149.0,4149.25,4148.5,4149.25,211,100
2023-04-28 00:45:00,2023-04-28 00:45:00,4149.0,4149.25,4148.75,4149.0,273,104
2023-04-28 00:50:00,2023-04-28 00:50:00,4149.0,4149.5,4149.0,4149.25,317,94
2023-04-28 00:55:00,2023-04-28 00:55:00,4149.25,4149.75,4148.75,4149.5,262,91
2023-04-28 01:00:00,2023-04-28 01:00:00,4149.25,4149.5,4148.5,4148.5,472,113
2023-04-28 01:05:00,2023-04-28 01:05:00,4148.5,4149.5,4147.25,4147.5,1278,274
2023-04-28 01:10:00,2023-04-28 01:10:00,4147.25,4148.25,4147.25,4148.0,434,139
2023-04-28 01:15:00,2023-04-28 01:15:00,4148.0,4149.25,4148.0,4149.0,301,116
2023-04-28 01:20:00,2023-04-28 01:20:00,4148.75,4149.5,4148.75,4149.25,264,109
2023-04-28 01:25:00,2023-04-28 01:25:00,4149.5,4149.75,4149.0,4149.5,399,168
2023-04-28 01:30:00,2023-04-28 01:30:00,4149.5,4153.0,4149.0,4151.75,1019,372
2023-04-28 01:35:00,2023-04-28 01:35:00,4151.75,4155.5,4151.5,4153.0,2051,611
2023-04-28 01:40:00,2023-04-28 01:40:00,4152.75,4154.25,4152.0,4154.0,727,290
2023-04-28 01:45:00,2023-04-28 01:45:00,4153.75,4153.75,4152.5,4152.75,677,207
2023-04-28 01:50:00,2023-04-28 01:50:00,4152.75,4154.0,4152.25,4153.75,843,268
2023-04-28 01:55:00,2023-04-28 01:55:00,4153.75,4154.0,4152.5,4153.75,790,217
2023-04-28 02:00:00,2023-04-28 02:00:00,4153.5,4153.75,4150.5,4150.75,2019,610
2023-04-28 02:05:00,2023-04-28 02:05:00,4151.0,4151.25,4148.25,4149.0,1075,323
2023-04-28 02:10:00,2023-04-28 02:10:00,4149.25,4151.0,4148.75,4150.25,673,293
